Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,Salary,,,Max Salary,Multipler
163,Isaiah Hartenstein,26,OKC,C,57,53,1590,0.599,16.7,3.2,3.6,6.8,0.205,0.6,2.6,3.2,2.1,0.829,0.884567837,36.45265589,"33,877,338",,,,
66,Deni Avdija,24,POR,SF,72,54,2161,0.605,23.2,3.1,2.5,5.6,0.124,1.5,0.6,2.1,2.2,0.439,0.871971357,36.22170901,"33,662,708",,,,
151,Santi Aldama,24,MEM,PF,65,16,1660,0.588,18.5,2.9,2,5,0.144,2.5,0.7,3.2,2.2,0.585,0.838003805,35.99076212,"33,448,077",,,,
204,Luke Kornet,29,BOS,C,73,16,1361,0.683,11.4,4.8,2.2,7,0.246,1.6,1.7,3.3,1.8,0.744,0.824885925,35.75981524,"33,233,446",,,,
190,Tari Eason,23,HOU,PF,57,16,1420,0.567,19.4,2.1,2.9,5,0.169,1,2.6,3.6,2,0.634,0.81801182,35.52886836,"33,018,815",,,,
241,Mark Williams,23,CHO,C,44,41,1171,0.647,21.4,3.1,1.6,4.7,0.195,2.5,0.9,3.5,1.6,0.232,0.812423024,35.29792148,"32,804,184",,,,
4,Devin Booker,28,PHO,SG,75,75,2795,0.589,29.3,6.1,0.3,6.4,0.111,2.8,-2.4,0.4,1.7,0.439,0.809043118,35.0669746,"32,589,553",,,,
56,Julius Randle,30,MIN,PF,69,69,2226,0.593,25,3.6,2.6,6.2,0.134,1.5,-0.2,1.3,1.8,0.598,0.794518962,34.83602771,"32,374,922",,,,
165,Paolo Banchero,22,ORL,PF,46,46,1582,0.551,33.6,1.1,2.4,3.5,0.106,3.4,0.2,3.5,2.2,0.5,0.782793327,34.60508083,"32,160,291",,,,
138,Jimmy Butler,35,MIA,PF,25,25,766,0.638,21.1,2.9,0.8,3.7,0.233,4.2,0.6,4.8,1.3,0.451,0.761072884,34.37413395,"31,945,661",,,,
95,Tyrese Maxey,24,PHI,PG,52,52,1960,0.562,29.8,2.9,1,3.8,0.094,3.2,-1.1,2,2,0.293,0.744433664,34.14318707,"31,731,030",,,,
34,Jamal Murray,27,DEN,PG,67,67,2418,0.584,24,4.6,1.6,6.2,0.123,1.8,-1,0.8,1.7,0.61,0.73992183,33.91224018,"31,516,399",,,,
96,Norman Powell,31,LAC,SG,60,60,1958,0.615,26.1,2.9,2.3,5.3,0.129,1.7,-0.2,1.5,1.8,0.61,0.729142146,33.6812933,"31,301,768",,,,
71,Scottie Barnes,23,TOR,PF,65,65,2134,0.523,27,0.6,2.9,3.5,0.078,1.5,0.9,2.4,2.3,0.366,0.718171073,33.45034642,"31,087,137",,,,
7,Goga Bitadze,26,ATL,PG,76,76,2739,0.567,29.6,4.4,1.3,5.7,0.1,3.3,-2.7,0.5,1.7,0.488,0.716523304,33.21939954,"30,872,506",,,,
82,Onyeka Okongwu,24,ATL,C,74,40,2064,0.634,17.3,4.9,2.3,7.2,0.168,1.2,0.2,1.3,1.7,0.488,0.711641621,32.98845266,"30,657,875",,,,
60,Naz Reid,25,MIN,C,80,17,2200,0.577,21.5,2.4,3.3,5.7,0.125,0.8,0.8,1.6,2,0.598,0.710018063,32.75750577,"30,443,244",,,,
238,Kawhi Leonard,33,LAC,SF,37,37,1180,0.589,27.7,1.5,1.9,3.5,0.141,2.5,0.6,3.1,1.5,0.61,0.663265678,32.52655889,"30,228,613",,,,
17,Zach LaVine,29,2TM,SG,74,74,2602,0.639,25.3,3.7,1.4,5.1,0.094,2.3,-1.6,0.7,1.8,,0.657558226,32.29561201,"30,013,983",,,,
148,Jakob Poeltl,29,TOR,C,57,56,1686,0.641,18.7,3,2.5,5.5,0.158,0.7,1.3,2,1.7,0.366,0.656413649,32.06466513,"29,799,352",,,,
6,DeMar DeRozan,35,SAC,SF,77,77,2768,0.569,25,5.7,1.4,7.1,0.123,1.2,-1.2,-0.1,1.3,0.488,0.641089481,31.83371824,"29,584,721",,,,
176,Ja Morant,25,MEM,PG,50,50,1519,0.563,32.2,2,1.5,3.5,0.112,3.1,-0.7,2.4,1.7,0.585,0.640057737,31.60277136,"29,370,090",,,,
178,LaMelo Ball,23,CHO,PG,47,47,1505,0.536,35.9,0.9,1.1,2,0.065,4.1,-0.9,3.2,2,0.232,0.618843062,31.37182448,"29,155,459",,,,
9,OG Anunoby,27,NYK,PF,74,74,2706,0.591,19.7,3.7,2.8,6.5,0.116,0.7,0.1,0.7,1.9,0.622,0.606959882,31.1408776,"28,940,828",,,,
87,Miles Bridges,26,CHO,PF,64,64,2029,0.541,28,1.3,1.8,3.2,0.075,2.3,-0.5,1.8,2,0.232,0.605185026,30.90993072,"28,726,197",,,,
266,Alex Caruso,30,OKC,SG,54,3,1041,0.568,15.2,1.6,2.3,3.9,0.18,0.1,3.9,4,1.6,0.829,0.571276766,30.67898383,"28,511,566",,,,
188,Goga Bitadze,25,ORL,C,70,42,1430,0.631,14.3,2.8,3,5.8,0.195,-0.3,2.8,2.5,1.6,0.5,0.56639863,30.44803695,"28,296,936",,,,
149,Scotty Pippen Jr.,24,MEM,PG,79,21,1683,0.582,19.3,2.4,2.3,4.7,0.133,0,1.8,1.9,1.7,0.585,0.555961072,30.21709007,"28,082,305",,,,
167,Obi Toppin,26,IND,PF,79,4,1545,0.642,20.1,2.7,1.6,4.3,0.135,1.8,-0.1,1.7,1.4,0.61,0.541469355,29.99184893,"27,872,976",,,,
139,Aaron Wiggins,26,OKC,SG,76,26,1744,0.596,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4,0.829,0.539948943,29.85599783,"27,746,723",,,,
45,Malik Beasley,28,DET,SG,82,18,2283,0.59,22.5,2.9,1.8,4.7,0.1,2,-1.2,0.8,1.6,0.537,0.538233549,29.72014672,"27,620,469",,,,
11,Christian Braun,23,DEN,SG,79,77,2675,0.665,15.8,6.2,1.9,8,0.144,0.8,-0.5,0.3,1.6,0.61,0.534385938,29.58429561,"27,494,216",,,,
10,Jalen Green,22,HOU,SG,82,82,2697,0.544,27.3,1.9,3.2,5.1,0.092,1.1,-0.5,0.5,1.7,0.634,0.523866909,29.4484445,"27,367,963",,,,
309,Jaylin Williams,22,OKC,PF,47,9,784,0.594,14.6,1.5,1.7,3.3,0.199,1.5,2.7,4.3,1.2,0.829,0.500749937,29.3125934,"27,241,709",,,,
