Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE,SALARY,,
295,Zion Williamson,24,NOP,PF,30,30,857,0.6,34.7,1.9,0.6,2.5,0.141,5.9,1,7,1.9,0.256,0.88473056,36.65740741,36657407.41,36725670,,
163,Isaiah Hartenstein,26,OKC,C,57,53,1590,0.599,16.7,3.2,3.6,6.8,0.205,0.6,2.6,3.2,2.1,0.829,0.88370909,36.42592593,36425925.93,30000000,,
66,Deni Avdija,24,POR,SF,72,54,2161,0.605,23.2,3.1,2.5,5.6,0.124,1.5,0.6,2.1,2.2,0.439,0.871274346,36.19444444,36194444.44,15625000,,
151,Santi Aldama,24,MEM,PF,65,16,1660,0.588,18.5,2.9,2,5,0.144,2.5,0.7,3.2,2.2,0.585,0.837253817,35.96296296,35962962.96,3960531,,
204,Luke Kornet,29,BOS,C,73,16,1361,0.683,11.4,4.8,2.2,7,0.246,1.6,1.7,3.3,1.8,0.744,0.824014538,35.73148148,35731481.48,2087519,,
190,Tari Eason,23,HOU,PF,57,16,1420,0.567,19.4,2.1,2.9,5,0.169,1,2.6,3.6,2,0.634,0.817270764,35.5,35500000,3695160,,
241,Mark Williams,23,CHO,C,44,41,1171,0.647,21.4,3.1,1.6,4.7,0.195,2.5,0.9,3.5,1.6,0.232,0.811687439,35.26851852,35268518.52,4094280,,
4,Devin Booker,28,PHO,SG,75,75,2795,0.589,29.3,6.1,0.3,6.4,0.111,2.8,-2.4,0.4,1.7,0.439,0.808399227,35.03703704,35037037.04,49205800,,
56,Julius Randle,30,MIN,PF,69,69,2226,0.593,25,3.6,2.6,6.2,0.134,1.5,-0.2,1.3,1.8,0.598,0.793905377,34.80555556,34805555.56,33073920,,
165,Paolo Banchero,22,ORL,PF,46,46,1582,0.551,33.6,1.1,2.4,3.5,0.106,3.4,0.2,3.5,2.2,0.5,0.781994745,34.57407407,34574074.07,12160800,,
138,Jimmy Butler,35,MIA,PF,25,25,766,0.638,21.1,2.9,0.8,3.7,0.233,4.2,0.6,4.8,1.3,0.451,0.760352922,34.34259259,34342592.59,48798677,,
